stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
278,의성,2013-01-01,-8.6,-16.7,537,-0.4,1503,,,,,,1.0,3.7,20,1152,2.2,20,1157,0.5,397,360,-10.8,63,1504,84.0,2.9,1010.1,1023.5,230,1018.2,1443,1020.8,9.7,2.8,,,,,,,,,,,-2.0,-10.5,,,,,,,,,,,,,,
278,의성,2013-01-02,-8.2,-18.0,2348,-3.2,1420,,,,,,0.1,10.2,340,1554,5.8,290,1611,2.6,2247,290,-16.8,30,1045,54.0,1.7,1018.4,1034.9,2247,1019.7,104,1029.2,9.8,8.3,,,,,,,,,,,-0.8,-7.5,,,,,,,,,,,,,,
278,의성,2013-01-03,-14.4,-21.1,651,-5.7,1539,,,,,,,8.7,320,1253,5.1,320,1258,1.5,1264,270,-21.5,26,1518,59.1,1.1,1024.7,1038.1,947,1034.0,1539,1035.8,9.8,8.3,,,,,,,,,,,-2.0,-9.7,,,,,,,,,,,,,,
278,의성,2013-01-04,-14.4,-23.2,735,-2.7,1443,,,,,,,3.4,140,1328,1.9,110,1424,0.6,527,140,-20.6,25,1444,63.9,1.2,1020.9,1035.9,5,1029.0,1613,1031.9,9.8,8.2,,,,,,,,,,,-2.5,-11.0,,,,,,,,,,,,,,
278,의성,2013-01-05,-10.3,-20.6,814,0.9,1431,,,,,,,7.9,290,1555,4.6,290,1602,1.0,840,290,-16.2,30,1251,65.9,1.8,1015.6,1029.2,5,1022.4,1502,1026.4,9.8,8.2,,,,,,,,,,,-2.3,-10.4,,,,,,,,,,,,,,
278,의성,2013-01-06,-8.5,-14.9,300,2.8,1249,,,,,,,4.8,290,1527,2.7,320,1544,0.6,530,270,-13.8,26,1516,69.3,2.2,1014.9,1027.2,908,1023.3,1401,1025.6,9.8,8.0,,,,,,,,,,,-1.9,-8.6,,,,,,,,,,,,,,
278,의성,2013-01-07,-8.4,-16.8,518,2.0,1515,,,,,,,5.7,270,1516,3.3,250,1329,0.8,685,230,-15.4,20,1416,62.9,1.9,1013.9,1027.4,1004,1022.4,1442,1024.6,9.8,6.3,,,,,,,,,,,-2.0,-9.6,,,,,,,,,,,,,,
278,의성,2013-01-08,-7.1,-15.6,734,3.2,1518,,,,,,,6.1,290,1605,3.5,250,1441,0.8,674,70,-13.6,23,1623,65.3,2.2,1014.2,1027.4,838,1022.1,1627,1024.9,9.8,8.2,,,,,,,,,,,-1.9,-9.1,,,,,,,,,,,,,,
278,의성,2013-01-09,-8.9,-15.3,2343,-1.6,1449,,,,,,,7.6,320,1644,5.1,270,1242,1.8,1565,290,-16.5,25,1301,58.3,1.7,1015.0,1028.0,2342,1023.3,1508,1025.8,9.9,8.4,,,,,,,,,,,-4.0,-20.8,,,,,,,,,,,,,,
278,의성,2013-01-10,-11.4,-20.6,731,-0.8,1559,,,,,,,6.9,250,1244,4.2,270,1253,1.1,970,270,-19.4,22,1638,58.3,1.3,1019.4,1032.6,2313,1027.9,1,1030.3,9.9,8.4,,,,,,,,,,,-9.0,-24.6,,,,,,,,,,,,,,
