stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
253,김해시,2013-01-01,1.4,-5.0,645,7.6,1401,,,,,,,11.5,320,1628,7.6,290,1600,2.1,1846,290,-7.1,32,1559,54.8,3.6,1013.5,1023.4,217,1017.6,1357,1021.0,9.8,7.7,1300,1.69,9.18,,,,,,,,-2.6,-11.7,0.4,-1.0,-1.4,1.4,,,,,,,,,,
253,김해시,2013-01-02,-0.3,-6.3,2342,4.0,239,,,,,,,12.0,340,813,6.8,290,744,3.3,2841,320,-12.1,28,1345,41.4,2.6,1020.3,1033.7,2243,1021.0,234,1027.9,9.9,8.1,1200,1.9,10.85,,,,,,,,-2.7,-9.9,0.8,-1.7,-2.3,0.8,,,,,,,,,,
253,김해시,2013-01-03,-5.8,-8.8,726,-2.2,1345,,,,,,,11.5,320,1224,6.4,320,1224,3.4,2952,320,-21.2,17,1323,29.9,1.2,1026.4,1036.6,949,1032.9,1415,1034.2,9.9,7.4,1200,2.12,11.0,,,,,,,,-5.6,-13.1,-0.5,-2.4,-4.3,0.4,,,,,,,,,,
253,김해시,2013-01-04,-4.6,-9.5,505,1.4,1535,,,,,,,7.7,320,1129,5.1,320,1131,2.8,2405,320,-18.7,21,1428,33.5,1.4,1022.3,1033.8,313,1027.4,2337,1030.1,9.9,8.9,1200,2.08,12.18,,,,,,,,-5.9,-13.3,-1.2,-3.5,-4.9,0.3,,,,,,,,,,
253,김해시,2013-01-05,-2.4,-7.3,759,3.8,1517,,,,,,,9.4,290,1319,6.0,320,1322,3.2,2730,320,-16.0,18,1247,35.8,1.8,1017.3,1027.5,1,1022.0,1443,1024.9,9.9,8.5,1200,2.12,11.92,,,,,,,,-4.8,-11.7,-1.2,-4.0,-3.7,0.5,,,,,,,,,,
253,김해시,2013-01-06,-0.5,-3.7,417,4.7,1549,,,,,,,7.2,320,945,4.5,320,942,2.6,2285,320,-12.1,24,1305,42.6,2.4,1016.9,1025.9,823,1022.9,1544,1024.4,9.9,8.1,1300,1.9,10.08,,,,,,,,-3.2,-10.2,-0.7,-2.4,-2.5,0.8,,,,,,,,,,
253,김해시,2013-01-07,0.2,-4.6,745,6.5,1520,,,,,,,8.6,320,1335,5.8,320,1337,3.0,2605,320,-17.1,14,1508,27.1,1.6,1015.5,1025.1,920,1021.0,1522,1023.1,9.9,9.0,1200,2.1,12.09,,,,,,,,-3.2,-11.5,-1.3,-2.1,-2.5,0.8,,,,,,,,,,
253,김해시,2013-01-08,1.0,-3.3,820,6.6,1533,,,,,,,7.8,320,1232,5.2,320,1542,2.9,2533,320,-14.3,18,1420,32.9,2.0,1015.9,1025.5,933,1021.5,1506,1023.4,9.9,8.7,1200,1.94,11.11,,,,,,,,-2.9,-9.6,-0.7,-3.4,-2.3,0.7,,,,,,,,,,
253,김해시,2013-01-09,-1.5,-5.2,2359,2.4,1527,,,,,,,10.1,340,952,6.0,320,1218,3.1,2689,320,-17.6,20,1551,28.5,1.6,1017.2,1027.4,2355,1022.5,1428,1024.8,9.9,8.6,1200,2.06,11.77,,,,,,,,-4.0,-11.3,-0.4,-4.1,-3.8,0.3,,,,,,,,,,
253,김해시,2013-01-10,-2.8,-6.7,747,3.1,1455,,,,,,,12.0,340,1314,6.6,320,1344,3.5,2988,320,-20.4,12,1443,25.9,1.2,1021.1,1031.3,2356,1026.8,500,1028.8,10.0,9.0,1200,2.17,12.76,,,,,,,,-5.1,-12.1,-0.9,-3.7,-4.5,0.3,,,,,,,,,,
253,김해시,2013-01-11,-1.4,-7.3,622,5.2,1626,,,,,,,6.9,320,1240,4.7,290,1144,2.3,1966,320,-15.9,14,1444,33.8,1.8,1022.1,1032.7,824,1027.2,2230,1029.7,10.0,9.0,1200,2.11,12.12,,,,,,,,-3.9,-12.9,-1.1,-2.3,-2.8,0.5,,,,,,,,,,
