stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
285,합천,2013-01-01,-3.0,-9.5,635,4.6,1426,,,,,,,10.0,230,1644,4.7,250,1514,1.1,972,230,-6.3,46,1606,79.3,3.9,1016.4,1022.9,228,1017.7,1348,1020.6,9.8,2.5,,,,,,,,,,,-1.2,-13.9,,,,,,,,,,,,,,
285,합천,2013-01-02,-1.6,-7.2,2354,2.9,423,,,,,,,9.2,290,1400,4.3,290,1426,2.1,1846,270,-12.8,30,1359,42.9,2.4,1024.2,1034.4,2351,1020.1,222,1028.4,9.8,7.9,,,,,,,,,,,-0.8,-12.4,,,,,,,,,,,,,,
285,합천,2013-01-03,-8.4,-13.2,731,-2.2,1417,,,,,,,8.6,340,1224,4.1,290,1309,1.7,1441,20,-17.1,20,1423,55.5,1.6,1030.6,1037.7,955,1033.7,1530,1035.0,9.8,8.1,,,,,,,,,,,-2.8,-16.5,,,,,,,,,,,,,,
285,합천,2013-01-04,-8.3,-14.9,725,0.8,1528,,,,,,,5.1,90,1400,3.4,50,1136,1.1,919,20,-15.4,25,1501,61.6,1.9,1026.3,1034.8,254,1027.8,1624,1030.7,9.8,8.2,,,,,,,,,,,-3.9,-18.3,,,,,,,,,,,,,,
285,합천,2013-01-05,-6.1,-13.5,615,4.2,1601,,,,,,,3.7,90,1419,2.1,90,1422,0.8,661,230,-13.4,19,1244,63.0,2.2,1021.1,1028.0,21,1022.0,1450,1025.4,9.9,8.2,,,,,,,,,,,-4.1,-17.6,,,,,,,,,,,,,,
285,합천,2013-01-06,-3.8,-8.7,201,4.1,1532,,,,,,,5.2,20,1707,4.1,20,1715,0.9,777,20,-10.2,31,1531,65.3,2.8,1020.5,1026.5,826,1022.6,1511,1024.8,9.9,7.0,,,,,,,,,,,-3.3,-14.1,,,,,,,,,,,,,,
285,합천,2013-01-07,-3.6,-9.8,759,4.9,1518,,,,,,,5.8,70,1746,4.1,50,1706,1.1,918,50,-13.1,16,1419,55.3,2.3,1019.5,1026.3,838,1020.9,1502,1023.8,9.9,8.2,,,,,,,,,,,-3.3,-14.0,,,,,,,,,,,,,,
285,합천,2013-01-08,-3.2,-9.8,744,6.6,1436,,,,,,,5.2,50,1636,3.6,50,1643,0.7,641,200,-11.3,17,1416,60.9,2.6,1019.9,1026.5,914,1021.6,1605,1024.2,9.9,8.2,,,,,,,,,,,-3.1,-15.1,,,,,,,,,,,,,,
285,합천,2013-01-09,-4.0,-9.5,743,2.1,1526,,,,,,,8.2,320,2158,4.1,320,2158,1.3,1123,290,-14.3,20,1544,49.9,2.1,1021.1,1027.7,2336,1022.6,1445,1025.4,9.9,8.2,,,,,,,,,,,-3.2,-14.3,,,,,,,,,,,,,,
285,합천,2013-01-10,-6.5,-12.5,748,2.5,1537,,,,,,,5.1,70,1551,3.4,50,1612,1.0,897,200,-15.3,18,1530,55.4,1.9,1025.4,1031.9,2337,1027.5,1,1029.7,9.9,8.3,,,,,,,,,,,-4.0,-16.2,,,,,,,,,,,,,,
285,합천,2013-01-11,-4.5,-13.3,703,5.1,1454,,,,,,,3.7,70,1628,2.3,70,1636,0.8,680,230,-12.2,23,1452,59.8,2.4,1025.6,1033.2,815,1027.0,2210,1029.9,10.0,7.7,,,,,,,,,,,-4.1,-18.5,,,,,,,,,,,,,,
285,합천,2013-01-12,-0.3,-7.6,747,9.7,1423,,,,,,,7.0,250,1259,3.9,250,1307,1.1,962,250,-6.1,36,1412,68.4,3.9,1020.9,1027.8,130,1022.6,1412,1025.1,10.0,7.8,,,,,,,,,,,-1.7,-12.1,,,,,,,,,,,,,,
285,합천,2013-01-13,-1.1,-5.7,449,3.7,1414,,,,,,,3.5,20,1305,2.5,20,1309,0.6,490,250,-5.7,44,1422,72.8,4.0,1019.4,1026.6,950,1020.3,2350,1023.6,10.0,0.0,,,,,,,,,,,-0.5,-9.8,,,,,,,,,,,,,,
